"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2023","119.01","119.01","119.01","119.01","","-1.47%"
"09/01/2023","120.79","120.79","120.79","120.79","","10.41%"
"08/01/2023","109.40","109.40","109.40","109.40","","-2.72%"
"07/01/2023","112.46","112.46","112.46","112.46","","-0.10%"
"06/01/2023","112.57","112.57","112.57","112.57","","7.14%"
"05/01/2023","105.07","105.07","105.07","105.07","","-9.53%"
"04/01/2023","116.14","116.14","116.14","116.14","0.03K","-8.59%"
"03/01/2023","127.06","127.06","127.06","127.06","0.05K","1.04%"
"02/01/2023","125.75","125.75","125.75","125.75","0.10K","1.93%"
"01/01/2023","123.37","123.37","123.37","123.37","","10.86%"
"12/01/2022","111.28","111.28","111.28","111.28","0.03K","19.34%"
"11/01/2022","93.25","93.25","93.25","93.25","","0.89%"
"10/01/2022","92.43","92.43","92.43","92.43","","-5.98%"
"09/01/2022","98.31","98.31","98.31","98.31","","-6.16%"
"08/01/2022","104.76","104.76","104.76","104.76","","-2.29%"
"07/01/2022","107.22","107.22","107.22","107.22","","-17.52%"
"06/01/2022","130.00","130.00","130.00","130.00","0.15K","-2.63%"
"05/01/2022","133.51","133.51","133.51","133.51","","-11.45%"
"04/01/2022","150.77","150.77","150.77","150.77","","-0.05%"
"03/01/2022","150.84","150.84","150.84","150.84","0.03K","6.23%"
"02/01/2022","141.99","141.99","141.99","141.99","0.04K","8.27%"
"01/01/2022","131.15","131.15","131.15","131.15","0.30K","16.58%"
"12/01/2021","112.50","112.50","112.50","112.50","","18.46%"
"11/01/2021","94.97","94.97","94.97","94.97","","-21.66%"