"TIPO","VALOR (R$)","% / FATOR","VALOR EMISSÃO (R$)","APROVADO","NEGOCIADO ATÉ","PAGAMENTO"
"JSCP","1,91","n/d","n/d","27/07/23","11/08/23","01/09/23"
"Dividendo","1,82","n/d","n/d","16/02/23","13/03/23","22/03/23"
"JSCP","0,290809381","n/d","n/d","01/12/22","12/12/22","n/d"
"Dividendo","2,03","n/d","n/d","28/07/22","11/08/22","01/09/22"
"JSCP","1,53","n/d","n/d","28/07/22","11/08/22","01/09/22"
"Dividendo","3,71","n/d","n/d","24/02/22","08/03/22","16/03/22"
"Dividendo","8,19","n/d","n/d","16/09/21","22/09/21","30/09/21"
"Dividendo","0,716268047","n/d","n/d","17/06/21","23/06/21","30/06/21"
"Dividendo","1,46","n/d","n/d","17/06/21","23/06/21","30/06/21"
"Dividendo","3,42","n/d","n/d","25/02/21","04/03/21","15/03/21"
"JSCP","0,835736883","n/d","n/d","25/02/21","04/03/21","15/03/21"
"Dividendo","1,41","n/d","n/d","10/09/20","21/09/20","30/09/20"
"JSCP","0,997344547","n/d","n/d","10/09/20","21/09/20","30/09/20"
"JSCP","1,41","n/d","n/d","19/12/19","26/12/19","n/d"
"Dividendo","0,171747417","n/d","n/d","25/07/18","02/08/18","20/09/18"
"Desdobramento","n/d","100,00","n/d","31/08/07","31/08/07","n/d"
"Bonificação","n/d","100,00","n/d","18/04/97","18/04/97","n/d"
"Grupamento","n/d","0,10","n/d","10/04/96","10/04/96","n/d"
"Subscrição","n/d","0,00","1222000","10/07/91","26/07/91","n/d"